[0904/181628.780:ERROR:process_info.cc(329)] VirtualQueryEx: Access is denied. (0x5)
[0904/181629.097:ERROR:process_info.cc(556)] ReadMemoryInfo failed
[0923/235313.102:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/000313.192:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/000313.265:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/000813.140:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/002313.142:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/003813.145:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/005346.522:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/010846.525:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/012346.538:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/013846.541:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/015346.543:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/020846.670:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/022346.674:ERROR:crash_report_database_win.cc(428)] unexpected header
[0924/023846.677:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/125420.941:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/130420.919:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/130420.921:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/130921.099:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/132421.101:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/133921.103:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/135421.106:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/140921.108:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/190042.136:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/191542.140:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/193042.143:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/194542.146:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/200042.148:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/212807.177:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/214307.180:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/215807.183:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/221307.185:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/222807.190:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/224307.191:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/225807.195:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/231307.198:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/232807.204:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/234307.206:ERROR:crash_report_database_win.cc(428)] unexpected header
[0925/235807.209:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/001307.213:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/002807.216:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/102119.442:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/103619.447:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/105119.450:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/110619.452:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/112119.455:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/113619.457:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/115119.459:ERROR:crash_report_database_win.cc(428)] unexpected header
[0926/120619.494:ERROR:crash_report_database_win.cc(428)] unexpected header
[0927/110951.663:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/125937.195:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/130937.196:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/130937.198:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/131437.304:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/132937.305:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/134437.308:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/135937.310:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/141748.472:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/143248.483:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/144748.484:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/150248.487:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/151748.488:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/153248.490:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/154748.492:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/160248.495:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/161748.497:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/163248.500:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/164748.502:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/170248.505:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/171748.508:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/173248.511:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/174748.513:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/180248.517:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/181748.519:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/183248.521:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/184748.524:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/190248.526:ERROR:crash_report_database_win.cc(428)] unexpected header
[0929/191748.529:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/142710.338:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/235318.819:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/000318.821:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/000318.821:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1017/000318.824:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/000318.826:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/000818.940:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/002318.962:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/003819.012:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/005319.014:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/010819.022:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/012319.024:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/013819.026:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/015319.029:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/020819.031:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/022319.033:ERROR:crash_report_database_win.cc(457)] unexpected header
[1017/023819.036:ERROR:crash_report_database_win.cc(457)] unexpected header
